Temperature (C),Disolved Oxygen (mg/l),pH,Conductivity (micro_mhos/cm),Turbidity (NTU),Fecal Coliform (MPN/100ml)
32.6,3.8,7.3,247,46.9,5159
33.2,3.7,7.3,351,47.1,5152
34.4,3.6,7.5,374,47.2,5102
35.5,3.5,7.7,382,47.4,4984
36.2,3.4,7.6,387,48.2,4926
36.9,3.4,7.6,386,48.3,4952
37.0,3.3,7.7,391,47.0,4896
37.8,3.3,7.7,397,47.4,4896
38.0,3.2,7.7,405,48.5,4884
37.5,3.2,7.7,402,48.2,4865
37.4,3.4,7.7,396,47.4,4825
36.7,3.4,7.8,394,48.7,4982
35.8,3.5,7.8,392,48.3,4999
35.3,3.5,7.8,389,48.6,5012
34.7,3.6,7.8,379,47.5,5045
34.5,3.6,7.9,373,47.6,5055
34.1,3.6,7.9,371,47.8,5051
33.8,3.7,7.9,349,46.6,5154
33.8,3.7,7.4,354,46.5,5142
33.2,3.7,7.4,367,46.3,5243
33.1,3.7,7.4,341,46.9,5192
32.9,3.8,7.3,350,46.4,5183
32.9,3.8,7.3,246,46.2,5191
32.8,3.8,7.3,253,46.3,5183
32.6,3.8,7.3,249,46.5,5187
31.8,3.9,7.2,300,45.3,5169
31.1,3.9,7.2,291,45.4,5267
30.9,4.0,7.2,343,43.5,5385
30.9,4.0,7.3,351,43.6,5284
31.4,3.9,7.3,310,44.5,5386
31.9,3.9,7.4,297,45.2,5401
32.6,3.8,7.4,345,44.3,5294
32.5,3.8,7.5,328,45.5,5267
32.0,3.8,7.5,316,45.3,5275
31.5,3.8,7.8,228,43.9,5643
31.5,3.6,7.8,235,44.2,5502
31.6,3.7,7.8,235,43.1,5454
32.9,3.8,7.8,249,43.2,5299
30.2,4.0,7.0,244,43.6,5395
30.7,4.0,7.4,248,44.1,5435
30.8,4.0,7.4,255,46.8,5467
31.0,3.9,7.8,320,46.8,5356
31.9,3.9,7.6,310,45.3,5355
32.6,3.8,7.6,324,45.3,5393
32.5,3.8,7.6,315,45.6,5243
32.0,3.8,7.5,355,45.6,5284
32.0,3.8,7.5,345,45.6,5286
31.4,3.9,7.2,322,44.2,5224
31.4,3.9,7.2,316,44.3,5235
31.3,3.9,7.2,318,44.3,5246
32.9,3.8,7.3,327,45.4,5246
30.8,4.0,7.3,247,45.3,5375
30.7,4.0,7.3,262,45.7,5385
30.8,4.0,7.2,245,44.2,5453
31.0,3.9,7.2,328,44.1,5454
31.9,3.9,7.2,315,44.5,5354
32.6,3.8,7.3,324,47.4,5397
32.5,3.8,7.3,315,45.9,5296
32.0,3.8,7.4,355,46.3,5275
32.6,3.8,7.4,345,43.2,5263
31.8,3.9,7.5,321,43.5,5143
31.1,3.9,7.5,319,43.6,5158
30.9,4.0,7.3,365,42.4,5483
30.9,4.0,7.4,360,42.6,5462
31.4,3.9,7.4,294,43.5,5366
31.9,3.9,7.5,285,43.6,5342
32.6,3.8,7.5,324,43.9,5142
32.0,3.8,7.5,354,44.6,5243
31.5,3.9,7.4,292,44.1,5322
31.5,3.9,7.4,286,44.1,5355
31.6,3.9,7.5,288,43.6,5374
32.9,3.8,7.5,334,44.8,5243
30.2,4.0,7.3,246,43.8,5433
30.7,4.0,7.4,265,43.7,5421
30.8,4.0,7.4,243,43.2,5312
31.0,3.9,7.5,285,43.9,5319
31.9,3.9,7.5,274,44.3,5272
32.6,3.8,7.2,336,45.3,5282
32.5,3.8,7.2,327,45.6,5278
32.0,3.8,7.3,267,45.9,5243
31.9,3.9,7.3,278,43.5,5183
31.9,3.9,7.4,283,43.2,5395
31.8,3.9,7.4,303,43.1,5378
31.8,3.9,7.4,312,43.1,5249
31.7,3.9,7.5,317,43.1,5294
31.6,3.9,7.5,316,43.6,5284
31.6,3.9,7.2,315,43.6,5238
31.5,3.9,7.2,306,43.7,5345
31.3,3.9,7.3,297,43.6,5345
31.2,3.9,7.3,296,43.6,5395
31.1,3.9,7.4,309,43.9,5384
31.0,3.9,7.0,311,43.6,5364
30.9,4.0,7.0,257,42.7,5475
30.8,4.0,7.4,252,42.4,5463
30.8,4.0,7.4,241,42.6,5482
30.7,4.0,7.5,258,42.6,5486
30.6,3.9,7.5,269,42.4,5486
30.6,3.9,7.2,249,42.2,5467
30.6,3.9,7.2,247,42.3,5455
30.6,3.9,7.0,252,42.3,5478
30.7,3.9,7.0,265,42.5,5467
30.8,3.9,7.1,255,42.3,5488
30.6,4.0,7.1,250,42.5,5423
31.0,3.9,7.1,313,43.7,5472
30.9,4.0,7.5,285,43.4,5393
31.1,3.9,7.5,326,43.2,5374
32.9,3.8,7.5,247,46.1,5284
30.8,4.0,7.2,266,46.1,5442
30.1,3.9,7.2,248,44.1,5482
30.1,3.9,7.0,246,42.3,5427
30.2,3.9,7.0,264,42.5,5427
30.2,3.9,7.1,241,42.6,5482
30.3,4.0,7.1,240,42.3,5472
30.3,4.0,7.1,260,42.3,5485
30.3,4.0,7.6,243,42.3,5486
30.5,4.0,7.6,243,42.6,5423
30.5,4.0,7.6,256,42.4,5234
30.8,4.0,7.2,241,43.3,5232
31.1,3.9,7.2,294,43.9,5134
31.1,3.9,7.0,271,46.7,5284
31.1,3.9,7.0,282,46.5,5248
31.2,3.9,7.1,302,44.0,5284
31.2,3.9,7.1,302,44.2,5233
31.1,3.9,7.1,314,43.9,5284
31.2,3.9,7.5,303,44.1,5284
31.2,3.9,7.5,300,44.2,5273
30.8,4.0,7.5,245,44.3,5378
30.8,4.0,7.5,239,43.0,5394
30.9,4.0,7.5,238,43.8,5319
30.9,4.0,7.2,237,43.6,5393
30.9,4.0,7.2,252,43.6,5394
30.9,4.0,7.0,250,43.5,5486
31.2,3.9,7.0,306,43.6,5473
31.3,3.9,7.1,295,43.5,5435
31.5,3.9,7.1,296,43.4,5343
31.9,3.9,7.1,283,43.2,5342
32.5,3.8,7.2,329,46.1,5244
32.8,3.8,7.3,352,46.1,5238
33.1,3.7,7.3,356,44.1,5135
33.6,3.7,7.3,355,44.6,5137
34.4,3.6,7.8,376,44.7,5023
35.5,3.5,7.8,386,46.7,4985
36.2,3.4,7.8,388,45.8,4893
36.9,3.4,8.0,389,46.9,4829
37.0,3.3,8.0,391,46.8,4867
37.8,3.3,8.1,394,46.8,4852
38.0,3.2,8.2,401,46.7,4813
37.5,3.3,8.2,400,47.0,4814
37.4,3.3,8.1,399,47.1,4829
36.7,3.4,8.0,395,47.2,4833
35.8,3.5,7.8,390,47.2,4856
34.6,3.6,7.8,383,46.3,4956
33.8,3.7,7.8,373,46.2,5103
32.6,3.8,7.7,331,44.3,5233
31.8,3.9,7.5,281,44.2,5242
31.1,3.9,7.5,285,43.9,5234
30.9,4.0,7.5,253,43.7,5345
30.9,4.0,7.5,244,43.2,5367
31.4,3.9,7.3,286,43.1,5265
31.9,3.9,7.4,285,43.8,5274
32.6,3.8,7.4,342,44.5,5286
32.1,3.8,7.5,334,44.6,5193
31.9,3.9,7.6,292,44.1,5167
31.4,3.9,7.6,287,43.9,5245
31.3,3.9,7.6,280,43.4,5284
32.9,3.8,7.6,330,43.4,5234
30.8,4.0,7.5,244,46.2,5472
30.7,4.0,7.5,241,46.5,5428
30.8,4.0,7.3,236,44.0,5462
28.0,3.9,6.8,226,43.3,5230
29.3,4.0,6.8,230,43.9,5230
30.2,4.0,7.0,268,44.5,5498
30.7,4.0,7.4,238,44.7,5493
30.8,4.0,7.4,240,45.0,5423
31.0,3.9,7.8,295,45.7,5364
31.1,3.9,7.4,296,43.6,5364
31.4,3.9,7.4,283,43.5,5372
31.5,3.9,7.5,271,43.6,5373
31.7,3.9,7.6,279,43.5,5327
32.7,3.8,7.6,338,43.4,5382
31.3,3.9,7.4,314,43.2,5232
31.1,3.9,7.4,321,43.4,5236
30.5,4.0,7.5,254,42.5,5435
30.5,4.0,7.6,244,42.6,5472
31.4,3.9,7.6,295,42.3,5312
31.7,3.9,7.4,296,44.2,5243
32.6,4.0,7.4,333,44.5,5238
32.4,4.0,7.5,314,44.8,5132
32.3,4.0,7.8,324,44.5,5132
32.3,4.0,7.8,354,44.7,5194
31.9,3.9,7.7,266,44.3,5283
31.8,3.9,7.7,265,44.3,5384
31.7,3.9,7.7,282,43.2,5384
31.7,3.9,7.7,294,43.2,5323
31.8,3.9,7.6,297,43.5,5243
31.6,3.9,7.6,285,43.0,5246
31.0,3.9,7.6,280,43.7,5238
30.9,4.0,7.4,239,43.4,5394
30.3,4.0,7.4,249,43.6,5395
30.3,4.0,7.3,266,43.5,5383
30.5,4.0,7.3,252,43.6,5313
30.5,4.0,7.3,250,43.4,5487
30.8,4.0,7.2,251,43.8,5483
31.1,3.9,7.2,291,43.4,5382
31.1,3.9,7.0,293,43.4,5372
31.1,3.9,7.2,284,44.2,5381
31.6,3.9,7.2,267,44.3,5382
31.7,3.9,7.2,268,44.5,5382
32.7,3.8,7.2,327,44.1,5234
31.3,3.9,7.3,295,44.2,5149
31.1,3.9,7.3,254,43.2,5143
30.5,4.0,7.3,243,43.5,5483
30.5,4.0,7.3,247,43.0,5473
31.4,3.9,7.2,295,43.7,5482
31.7,3.9,7.2,296,43.5,5284
32.6,3.8,7.0,338,44.0,5233
31.7,3.9,7.2,324,43.2,5263
32.7,3.8,7.2,326,43.4,5144
31.3,3.9,7.2,295,43.5,5133
31.1,3.9,7.2,296,43.7,5273
30.5,4.0,7.3,243,42.5,5483
30.5,4.0,7.3,244,42.3,5427
31.4,3.9,7.3,286,43.5,5483
31.7,3.9,7.3,281,43.6,5463
32.6,3.8,7.2,351,44.1,5379
32.5,3.8,7.2,360,44.2,5386
32.4,3.8,7.0,358,44.1,5257
31.9,3.9,7.2,278,44.2,5143
31.7,3.9,7.2,271,44.3,5163
31.3,3.9,7.2,283,44.5,5183
30.9,4.0,7.2,239,43.2,5423
30.4,4.0,7.4,238,43.1,5482
30.5,4.0,7.4,237,43.2,5466
30.8,4.0,7.4,252,43.2,5487
31.2,3.9,7.2,277,43.5,5499
31.3,3.9,7.2,265,44.5,5496
31.1,3.9,7.0,282,44.3,5343
31.4,3.9,7.2,294,44.2,5364
31.4,3.9,7.2,297,44.5,5323
31.7,3.9,7.2,325,44.6,5326
32.7,3.8,7.2,357,44.6,5120
31.3,3.9,7.3,275,43.2,5132
31.1,3.9,7.3,279,43.2,5142
30.5,4.0,7.3,265,42.5,5333
30.5,4.0,7.4,244,42.5,5483
31.4,3.9,7.4,275,42.9,5188
31.7,3.9,7.4,279,42.8,5234
32.6,3.8,7.4,353,43.9,5124
32.2,3.8,7.3,355,44.5,5102
31.7,3.9,7.2,270,43.2,5243
32.7,3.8,7.2,308,43.6,5131
31.3,3.9,7.0,329,42.3,5138
31.1,3.9,7.2,304,43.5,5131
30.5,4.0,7.2,266,43.3,5328
30.5,4.0,7.2,265,43.3,5483
31.4,3.9,7.2,282,44.1,5472
31.7,3.9,7.3,294,43.4,5321
32.6,3.8,7.3,327,43.4,5232
31.7,3.9,7.3,285,46.2,5264
31.7,3.9,7.0,266,46.5,5241
31.0,3.9,7.0,265,44.0,5241
30.2,4.0,7.0,252,46.7,5340
30.7,4.0,7.4,264,47.0,5398
30.8,4.0,7.4,250,46.5,5412
31.0,3.9,7.8,285,46.8,5311
31.5,3.8,7.8,228,44.9,5642
31.5,3.6,7.8,235,44.2,5500
31.6,3.7,7.8,235,43.1,5444
32.9,3.8,7.8,249,46.2,5399
33.1,3.8,7.6,367,47.8,5217
33.7,3.7,7.6,354,47.9,5271
34.4,3.6,7.6,371,48.6,5109
35.5,3.5,8.0,383,48.7,5022
36.2,3.4,8.0,384,49.1,4989
36.9,3.4,8.0,389,49.2,4928
37.0,3.3,8.0,392,49.3,4933
37.8,3.3,8.1,395,49.3,4923
38.0,3.2,8.1,401,49.5,4892
37.5,3.3,8.1,399,49.2,4823
37.4,3.3,8.1,398,48.8,4825
36.7,3.4,8.0,395,47.5,4834
35.8,3.5,8.0,390,46.5,4857
35.8,3.5,7.8,384,46.3,4836
34.6,3.6,7.8,373,46.1,4999
33.8,3.7,7.7,370,45.3,5023
32.6,3.8,7.7,357,44.3,5155
31.8,3.9,7.7,305,43.6,5293
31.1,3.9,7.6,290,43.5,5384
30.9,4.0,7.6,252,42.8,5374
30.9,4.0,7.6,244,42.9,5378
31.4,3.9,7.5,290,43.2,5273
31.4,3.9,7.5,289,43.6,5247
31.5,3.9,7.5,286,43.9,5222
31.5,3.9,7.4,275,43.8,5294
31.6,3.9,7.4,282,44.2,5274
31.6,3.9,7.4,274,43.6,5384
31.5,3.9,7.4,297,43.2,5339
31.2,3.9,7.4,275,43.6,5419
31.1,3.9,7.0,278,43.6,5386
30.9,4.0,7.0,255,43.5,5378
30.8,4.0,7.0,240,43.5,5461
30.6,4.0,7.0,245,43.4,5436
31.0,3.9,7.1,276,44.2,5233
30.9,4.0,7.1,263,43.6,5437
31.1,3.9,7.0,280,43.1,5248
32.9,3.8,7.1,320,44.3,5138
30.8,4.0,7.1,269,43.1,5475
30.1,3.9,7.1,248,42.1,5463
30.2,3.9,7.1,247,42.6,5482
30.2,3.9,7.0,242,42.5,5486
30.3,4.0,7.0,240,42.6,5486
30.4,4.0,7.2,239,42.9,5467
30.4,4.0,7.2,238,42.5,5455
30.5,4.0,7.2,237,42.5,5478
30.6,4.0,7.2,253,42.1,5467
30.6,4.0,7.2,259,42.6,5488
30.6,4.0,7.2,239,42.5,5423
30.7,4.0,7.2,238,42.6,5475
30.7,4.0,7.3,237,42.4,5463
30.8,4.0,7.3,259,43.1,5482
30.8,4.0,7.3,263,43.2,5486
30.7,4.0,7.3,245,42.9,5486
30.6,4.0,7.4,243,42.7,5467
31.0,3.9,7.4,312,43.6,5255
30.9,4.0,7.4,247,42.5,5478
31.1,3.9,7.5,300,43.8,5167
32.9,3.8,7.5,328,44.7,5088
30.8,4.0,7.5,266,43.5,5423
31.1,3.9,7.5,268,44.6,5364
31.2,3.9,7.4,293,44.1,5364
31.3,3.9,7.4,283,44.2,5372
31.3,3.9,7.4,298,43.9,5373
31.4,3.9,7.0,279,43.8,5327
31.4,3.9,7.0,285,43.7,5382
31.2,3.9,7.0,281,43.6,5348
31.2,3.9,7.3,293,43.5,5388
30.7,4.0,7.3,266,42.3,5490
30.8,4.0,7.3,249,42.7,5499
30.6,4.0,7.2,240,43.3,5489
31.0,3.9,7.2,277,43.9,5389
30.9,4.0,7.2,235,46.7,5472
31.1,3.9,7.1,288,46.5,5328
32.9,3.8,7.1,317,44.0,5294
30.8,4.0,7.1,263,42.6,5419
30.7,4.0,7.1,245,42.5,5486
30.7,4.0,7.1,243,42.6,5478
30.6,4.0,7.2,235,42.8,5461
31.0,3.9,7.2,299,43.1,5236
30.9,4.0,7.2,248,42.2,5438
31.1,3.9,7.2,305,43.1,5343
32.9,3.8,7.3,323,44.2,5249
30.8,4.0,7.3,235,43.5,5473
30.1,4.0,7.3,241,43.1,5427
30.5,4.0,7.4,243,42.8,5444
30.7,4.0,7.4,254,42.7,5464
30.8,4.0,7.4,249,42.6,5485
30.6,4.0,7.5,250,42.5,5454
31.0,3.9,7.5,277,43.6,5355
30.9,4.0,7.5,255,42.4,5437
31.1,3.9,7.5,273,43.8,5347
32.9,3.8,7.6,323,44.6,5253
30.8,4.0,7.6,263,42.3,5463
30.1,4.0,7.6,245,42.6,5465
30.1,4.0,7.6,249,42.6,5467
30.8,4.0,7.6,248,42.4,5486
30.9,4.0,7.5,258,42.2,5477
31.3,3.9,7.5,274,43.3,5343
31.3,3.9,7.5,278,43.7,5341
31.8,3.9,7.5,276,43.6,5463
32.2,3.8,7.5,324,44.6,5127
32.7,3.8,7.6,325,44.7,5173
33.3,3.7,7.6,363,45.8,5166
34.4,3.6,7.6,374,45.6,5023
35.5,3.5,7.8,383,46.9,4956
36.2,3.4,7.8,387,46.7,4913
36.9,3.4,7.8,388,46.8,4917
37.0,3.3,8.0,392,47.2,4899
37.8,3.3,8.0,395,47.3,4833
38.0,3.2,8.1,402,48.2,4825
37.5,3.3,8.0,400,48.3,4843
37.4,3.3,8.0,397,48.2,4863
36.7,3.4,7.8,396,47.8,4895
35.8,3.5,7.8,391,46.5,4923
35.8,3.5,7.8,385,46.3,4933
34.6,3.5,7.7,377,46.2,4998
33.7,3.6,7.7,361,46.4,5012
32.6,3.7,7.7,330,43.9,5133
31.8,3.8,7.6,270,43.4,5281
31.2,3.8,7.6,279,43.4,5295
30.8,3.9,7.6,260,43.2,5399
30.5,3.9,7.6,241,43.5,5424
30.4,3.9,7.5,242,43.0,5523
30.4,3.9,7.0,263,43.5,5510
30.3,3.9,7.0,244,43.2,5507
30.1,3.9,7.4,245,43.7,5487
28.0,3.9,6.8,226,43.3,5230
29.3,4.0,6.8,227,43.9,5230
30.2,4.0,7.0,267,43.4,5475
30.7,4.0,7.4,245,43.4,5463
30.8,4.0,7.4,248,43.1,5482
31.0,3.9,7.8,249,43.6,5486
31.2,3.9,7.8,276,44.3,5486
30.8,4.0,7.8,250,43.2,5467
30.6,4.0,7.5,263,43.5,5455
30.5,4.0,7.5,246,43.2,5478
30.4,4.0,7.5,245,43.6,5467
30.3,4.0,7.5,264,43.8,5488
30.1,4.0,7.0,266,43.9,5423
28.0,3.9,6.8,226,43.3,5475
29.3,4.0,6.8,230,43.9,5463
30.2,4.0,7.8,242,43.8,5499
30.7,4.0,7.8,252,43.6,5502
30.8,4.0,7.8,253,43.5,5510
31.0,3.9,7.5,275,44.3,5364
31.3,3.9,7.5,279,44.5,5364
31.1,3.9,7.5,271,44.6,5372
30.5,4.0,7.0,265,43.6,5373
30.5,4.0,7.0,262,43.5,5327
31.4,3.9,7.4,276,43.4,5382
31.7,3.9,7.4,273,43.4,5348
32.6,3.8,7.5,327,46.2,5228
32.6,3.8,7.5,315,46.5,5012
32.5,3.8,7.6,339,44.0,5133
31.7,3.9,7.6,272,43.2,5281
32.7,3.8,7.8,341,45.8,5295
31.3,3.9,7.5,282,43.5,5012
31.1,3.9,7.5,292,44.3,5133
30.5,4.0,7.5,266,42.9,5451
30.5,4.0,7.5,261,42.8,5465
31.7,3.9,7.8,282,42.7,5145
32.4,3.8,7.5,329,46.2,5034
31.3,3.9,7.5,272,44.2,5268
31.1,3.9,7.6,271,44.1,5299
30.5,4.0,7.6,252,43.4,5467
30.5,4.0,7.6,249,43.4,5455
30.8,4.0,7.5,244,43.1,5478
30.7,4.0,7.5,262,43.2,5467
30.8,4.0,7.5,245,43.5,5488
30.6,4.0,7.5,243,43.6,5423
31.0,3.9,7.5,273,44.2,5312
30.9,4.0,7.4,260,43.9,5397
31.1,3.9,7.4,274,44.3,5312
32.9,3.8,7.4,320,46.2,5150
30.8,4.0,7.3,253,42.7,5534
30.1,4.0,7.3,255,42.8,5571
30.1,4.0,7.2,253,43.2,5517
30.6,3.9,7.2,236,42.9,5526
30.8,3.9,7.2,238,42.7,5598
30.5,3.9,7.2,235,42.6,5566
30.4,4.0,7.1,239,42.5,5445
30.4,4.0,7.1,255,43.2,5503
30.3,4.0,7.1,242,43.1,5520
30.1,4.0,7.0,249,43.5,5537
30.2,4.0,7.0,265,43.2,5524
30.2,4.0,7.0,264,43.5,5531
30.2,4.0,7.1,254,43.1,5463
30.7,3.9,7.1,244,43.3,5424
30.8,3.9,7.1,240,43.2,5344
31.0,3.9,7.1,285,44.4,5374
32.7,3.8,7.1,322,43.4,5277
32.8,3.8,7.1,322,43.4,5273
33.0,3.7,7.2,344,46.2,5143
33.2,3.7,7.2,347,46.5,5172
33.8,3.7,7.2,352,44.0,5182
33.9,3.7,7.2,366,46.7,5172
34.4,3.6,7.5,374,46.7,5129
34.4,3.6,7.5,381,46.8,5032
35.5,3.5,7.8,389,47.3,5045
36.2,3.4,7.8,392,47.6,5037
36.9,3.4,7.8,385,47.8,4969
37.0,3.3,8.1,394,48.0,4936
37.8,3.3,8.1,392,48.1,4921
38.0,3.2,8.1,400,48.2,4894
37.5,3.3,8.0,398,48.3,4833
37.4,3.3,8.0,390,48.4,4844
36.7,3.4,7.8,382,47.9,4835
35.8,3.5,7.8,380,48.9,4856
35.5,3.5,7.8,378,48.7,4896
34.7,3.6,7.8,374,47.7,4927
33.0,3.7,7.8,369,46.5,5033
32.8,3.8,7.6,333,44.0,5182
32.8,3.8,7.6,330,43.4,5193
31.4,3.9,7.4,283,43.3,5326
31.2,3.9,7.4,284,43.9,5342
31.2,3.9,7.5,280,46.7,5374
31.2,3.9,7.5,281,47.0,5389
31.2,3.9,7.5,271,46.5,5377
32.4,3.8,7.5,335,46.8,5237
32.5,3.8,7.4,325,44.4,5224
31.5,3.9,7.4,272,43.4,5311
31.5,3.9,7.5,272,43.1,5326
30.9,4.0,7.4,251,43.6,5493
30.3,4.0,7.4,255,43.0,5499
28.0,3.9,6.8,226,43.3,5230
29.3,4.0,6.8,230,43.9,5230
30.2,4.0,7.0,235,43.4,5432
30.7,4.0,7.4,238,43.4,5465
30.8,4.0,7.4,237,43.1,5476
31.0,3.9,7.8,269,43.6,5315
31.5,3.8,8.1,228,44.9,5442
31.5,3.6,7.8,235,45.2,5403
31.6,3.7,7.8,235,45.1,5447
32.9,3.8,7.8,249,45.2,5396
