Temperature,Dissolved Oxygen,pH,Conductivity (mho/ Cm),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL)
7.5,9.95,7.85,134.5,22.5,180.0
11.0,9.65,7.7,77.0,62.5,410.0
7.5,9.9,7.65,101.5,26.0,200.0
8.5,9.65,7.55,148.0,97.5,600.0
10.0,9.55,7.8,106.0,47.5,380.0
11.0,9.45,7.75,97.5,67.0,445.0
9.5,9.55,7.9,203.5,74.5,570.0
10.5,9.85,7.7,95.5,60.0,290.0
14.5,9.8,7.95,99.0,26.5,225.0
16.5,9.25,7.65,111.5,66.0,295.0
19.0,8.9,8.2,162.0,37.5,240.0
14.5,8.65,8.05,116.0,22.0,200.0
16.0,9.65,8.05,163.0,190.5,970.0
12.25,9.75,8.0,234.5,4.0,104.5
11.25,9.65,7.8,206.4,4.0,98.5
14.25,10.25,7.7,249.5,4.05,105.0
13.75,8.85,7.54,150.5,4.0,119.0
12.65,8.7,7.625,220.0,21.0,109.0
16.55,8.2,7.9,211.5,2.0,40.5
17.0,8.2,8.1,216.5,3.0,48.0
16.1,8.05,7.9,217.0,4.0,95.0
17.55,8.65,7.6,248.0,4.5,104.5
11.5,9.65,7.75,87.5,52.5,285.0
21.1,8.7,8.0,214.0,2.0,2.0
26.0,8.9,8.0,215.0,2000.0,13000.0
20.0,7.75,7.6,209.0,38.5,82.0
21.5,8.15,7.85,252.0,86.5,179.5
21.5,8.2,7.7,260.0,68.0,120.0
21.0,7.95,8.0,255.0,292.0,480.0
20.5,7.6,7.75,275.5,375.0,675.0
20.0,7.9,7.55,295.0,300.0,435.0
20.5,8.3,7.75,256.0,357.0,555.0
20.0,7.8,7.8,254.5,220.0,420.0
19.5,8.3,7.7,253.0,172.0,375.0
23.0,8.15,7.7,261.0,230.0,375.0
9.5,8.85,7.9,1345.0,55.9,823.0
9.5,8.4,7.6,1339.5,20.4,819.5
11.25,8.6,7.55,1321.0,105.9,847.0
11.25,8.7,7.6,1293.5,47.9,905.0
12.0,8.65,7.75,1221.0,35.9,860.0
11.5,8.5,7.9,1330.5,29.0,140.9
11.5,8.5,7.7,1317.0,48.0,355.0
17.0,9.85,8.2,1174.0,23.0,195.0
16.0,9.8,7.85,680.0,22.0,250.0
12.0,7.65,7.85,1364.5,19.4,85.9
19.75,9.05,8.3,279.0,27.5,225.0
20.0,9.7,8.3,143.5,35.0,260.0
10.35,8.7,7.9,752.5,25.5,163.0
10.35,8.75,7.65,745.0,32.0,217.0
17.5,8.45,7.85,402.0,235.0,785.0
18.0,8.4,7.65,303.5,141.5,490.0
18.0,8.4,7.7,235.5,125.5,455.0
19.0,8.5,7.7,291.0,224.5,610.0
19.0,8.1,7.8,260.0,356.5,735.0
18.0,5.2,8.0,405.0,0.0,0.0
18.0,6.45,8.25,420.0,0.0,0.0
20.5,6.8,8.15,265.0,0.0,0.0
11.0,8.5,7.6,160.0,0.0,0.0
11.0,8.7,7.65,159.0,0.0,0.0
11.0,8.8,7.5,156.5,0.0,0.0
11.0,8.1,7.75,105.5,0.0,0.0
19.0,6.4,7.35,600.0,0.0,0.0
20.5,7.1,8.05,297.0,0.0,0.0
6.15,9.05,7.75,140.0,0.0,0.0
6.25,9.0,7.7,165.0,0.0,0.0
6.0,9.05,7.5,142.5,0.0,0.0
8.4,8.9,7.9,132.0,0.0,0.0
8.75,8.8,7.7,132.5,0.0,0.0
10.7,7.85,7.95,275.0,0.0,0.0
10.75,8.0,7.9,315.5,0.0,0.0
12.65,9.05,7.65,230.5,0.0,0.0
13.05,8.3,7.55,235.0,0.0,0.0
12.7,8.75,7.5,212.0,0.0,0.0
17.95,8.15,7.9,249.5,0.0,0.0
18.1,7.9,8.1,251.5,0.0,0.0
23.0,6.1,8.1,629.0,0.0,0.0
22.0,7.05,8.2,263.0,0.0,0.0
20.5,4.3,8.35,462.5,0.0,0.0
20.5,7.8,8.4,245.5,0.0,0.0
21.0,7.25,8.3,271.0,0.0,0.0
19.8,4.4,7.8,875.0,468.5,823.5
21.0,8.35,7.8,338.0,399.0,1260.0
15.0,6.95,7.8,331.5,3.4,55.9
15.0,6.95,7.7,920.5,30.9,70.9
16.25,7.0,7.65,323.5,3.9,60.9
16.0,6.7,7.55,333.5,3.95,65.9
15.5,6.9,7.6,354.0,3.9,70.9
16.25,6.85,7.6,300.5,3.95,75.9
17.5,7.05,7.95,496.0,4.0,112.0
15.0,6.85,8.05,2425.5,30.65,90.9
12.5,9.2,7.85,2371.0,9.0,810.5
12.5,9.05,7.9,2933.5,13.9,188.0
12.0,8.85,7.9,4049.0,20.5,283.0
13.5,9.3,7.8,516.5,22.5,831.5
22.0,8.2,8.4,191.0,0.0,0.0
22.0,8.2,8.4,188.0,0.0,0.0
21.5,7.8,7.95,116.0,0.0,0.0
16.0,8.5,8.1,119.0,0.0,0.0
22.0,8.6,8.35,399.5,23.5,170.0
20.5,9.3,8.1,417.0,19.0,144.5
20.3,7.35,7.9,275.5,15.0,116.0
18.0,6.25,7.95,636.0,9.0,39.0
0.0,7.25,7.95,336.0,13.3,85.9
9.5,8.0,7.65,146.5,10.9,93.0
10.5,7.8,7.55,168.5,19.4,108.0
12.25,8.4,7.6,669.5,3.0,82.0
12.5,8.35,7.75,126.5,4.0,78.0
22.0,9.2,8.6,172.0,0.0,0.0
19.0,8.3,7.5,184.0,2.0,63.0
19.0,8.1,7.2,172.0,2.0,70.0
15.0,8.2,7.3,228.0,0.0,0.0
18.0,7.25,7.7,1850.0,17.0,176.0
18.0,6.5,7.7,3010.0,177.0,1260.0
14.5,7.55,8.35,1697.0,12.0,175.5
20.75,7.0,7.65,443.5,3.0,62.5
19.0,10.1,7.75,125.5,33.0,70.0
20.5,9.5,7.9,354.0,90.0,195.0
19.5,9.6,7.95,138.0,38.0,75.0
19.0,9.0,7.55,202.0,145.0,240.0
18.0,9.3,7.85,71.5,65.0,140.0
0.0,8.6,7.55,157.5,0.0,0.0
21.25,9.0,7.25,210.5,960.0,2020.0
21.0,9.4,7.05,209.5,605.0,1520.0
22.5,8.7,7.2,221.0,195.0,360.0
23.5,8.75,7.3,227.0,300.0,580.0
21.5,8.95,7.35,227.0,600.0,1115.0
20.5,10.1,7.5,453.5,220.0,355.0
24.5,8.55,8.0,221.0,850.9,2200.0
24.0,8.5,8.15,275.0,2000.0,3950.0
24.0,8.1,8.2,283.0,2500.0,4900.0
24.0,8.35,8.35,276.5,2400.0,4550.0
24.0,8.05,8.25,285.5,2550.0,4850.0
24.0,8.05,8.25,284.0,2650.0,4050.0
24.0,7.7,8.25,299.5,3250.0,5800.0
24.0,7.0,8.0,332.5,26000.0,45500.0
24.0,7.6,8.1,305.5,14650.0,30500.0
22.0,8.8,8.3,329.5,3050.0,3600.0
22.0,8.95,8.2,331.0,2900.0,3550.0
27.4,9.75,8.0,207.5,9150.0,16700.0
27.55,9.2,8.15,209.0,9300.0,19000.0
27.7,9.15,8.1,259.5,8150.0,17700.0
27.75,9.35,7.95,261.0,6250.0,14500.0
24.25,8.2,8.3,410.0,1050.0,2000.0
24.4,7.55,8.35,430.0,9000.0,17500.0
24.25,7.85,5.35,424.0,6500.0,11000.0
25.75,8.6,8.25,438.0,1100.0,2250.0
25.75,7.2,8.3,460.0,17000.0,30000.0
26.5,7.9,8.4,447.0,8000.0,12500.0
24.0,7.85,8.15,310.0,3850.0,8800.0
26.25,7.15,8.4,461.5,14000.0,26000.0
26.0,8.5,8.0,381.0,14225.0,81150.0
26.0,3.35,7.65,5730.0,27023.0,80175.0
23.0,1.75,7.65,1000.0,2775.0,4870.0
23.0,2.2,7.55,1179.5,760.0,3075.0
23.5,3.05,8.05,1035.5,460.5,1070.0
28.5,6.5,7.85,1110.5,46110.0,80800.0
0.0,8.6,7.3,429.0,5400.0,16000.0
19.0,2.6,7.5,579.0,0.0,1600.0
25.0,5.2,7.35,348.0,0.0,0.0
25.0,1.6,6.65,452.0,0.0,0.0
21.5,4.4,7.45,382.5,0.0,0.0
21.5,1.9,7.35,503.0,0.0,0.0
25.0,5.6,7.6,395.0,0.0,0.0
16.0,7.2,7.55,220.0,0.0,0.0
25.0,4.6,7.3,532.0,0.0,0.0
25.0,5.5,7.6,398.5,0.0,0.0
21.0,5.1,7.7,212.5,0.0,0.0
25.0,5.0,7.55,377.0,0.0,0.0
24.5,3.9,7.05,491.5,0.0,0.0
24.5,5.0,7.45,430.0,0.0,0.0
24.5,8.15,8.3,453.0,5800.0,12050.0
27.8,8.2,7.3,175.0,2000.0,7800.0
28.2,8.3,7.4,177.0,2000.0,13000.0
25.9,6.95,8.15,348.5,12100.0,28700.0
25.9,6.7,8.1,354.0,17700.0,36750.0
26.25,3.0,7.6,394.5,93500.0,130500.0
26.25,2.3,7.55,402.0,128500.0,281000.0
26.25,2.3,8.05,518.0,62500.0,115000.0
26.25,1.9,7.55,526.5,109500.0,149500.0
26.25,4.1,8.05,393.0,24100.0,37000.0
26.25,4.45,8.05,384.5,17350.0,26150.0
23.5,6.95,7.95,384.5,5250.0,7650.0
23.5,7.05,7.95,379.0,4950.0,7600.0
26.5,8.25,8.3,408.0,1200.0,2400.0
24.5,7.0,7.35,312.0,14750.0,27950.0
23.5,7.55,7.55,293.0,11550.0,23000.0
21.0,9.9,7.8,300.0,13200.0,17050.0
23.5,7.2,7.4,1284.0,7650.0,20700.0
25.5,7.3,7.3,310.0,9650.0,21150.0
25.0,8.7,7.75,273.0,8600.0,18050.0
23.75,8.85,8.25,244.0,350.0,1250.0
23.75,8.55,8.3,261.0,1350.0,2850.0
23.5,7.2,7.6,498.0,9600.0,30400.0
19.5,7.35,7.25,462.5,2650.0,7950.0
25.5,7.1,7.65,278.5,15000.0,83400.0
30.5,6.75,7.6,346.0,14850.0,54500.0
26.0,2.8,6.95,564.5,11700.0,85500.0
26.0,3.0,7.2,251.5,11350.0,83150.0
25.0,2.2,7.2,690.5,27850.0,85500.0
25.0,2.55,7.2,687.5,32500.0,91000.0
24.5,8.25,8.0,236.0,11550.0,80700.0
28.0,8.5,8.15,308.0,28200.0,49050.0
24.0,7.95,7.8,401.5,8890.0,47350.0
24.5,4.0,7.4,374.5,14225.0,81650.0
25.5,4.95,7.4,438.5,7465.0,27700.0
27.0,7.0,7.7,337.0,9350.0,22150.0
27.5,7.85,7.9,322.0,5680.0,14550.0
26.0,6.7,7.8,472.5,11700.0,21000.0
26.0,4.65,7.3,418.5,14090.0,85500.0
26.5,7.6,7.5,0.0,0.0,0.0
26.5,9.0,7.7,289.5,3750.0,6500.0
28.0,8.3,7.7,281.5,6250.0,12050.0
28.0,9.0,7.85,423.5,4460.0,9200.0
26.0,7.35,7.7,670.5,11400.0,83500.0
26.5,8.6,7.9,350.5,6955.0,18200.0
27.25,8.6,7.85,353.5,2650.0,6850.0
27.75,9.1,7.9,261.0,6050.0,18150.0
27.25,8.6,7.7,353.5,2000.0,6750.0
27.5,8.4,7.9,372.5,3500.0,28350.0
28.25,8.7,7.85,355.5,2350.0,7650.0
27.5,4.1,7.7,481.5,154500.0,458000.0
28.5,2.25,7.8,477.5,150550.0,451500.0
26.75,8.35,7.95,343.0,3200.0,6050.0
27.0,6.95,7.7,448.5,18200.0,88500.0
27.0,7.15,7.7,546.0,46200.0,90500.0
27.5,6.95,7.7,417.0,251000.0,452000.0
28.5,6.4,7.6,3413.0,7200.0,20500.0
27.0,6.5,7.4,1217.5,9600.0,22000.0
21.0,7.15,7.55,131.5,700.0,2330.0
22.5,6.7,7.3,151.5,180.9,615.0
24.0,7.55,7.3,162.0,900.0,2510.0
25.0,7.35,7.7,128.0,930.0,2550.0
26.0,5.9,7.75,136.0,550.9,2510.0
27.0,7.8,7.9,124.0,930.0,2750.0
27.0,7.7,7.55,123.0,515.0,1400.0
24.5,7.8,7.5,127.0,700.0,1760.0
29.0,5.75,7.6,140.5,1150.0,2800.0
21.5,5.0,7.75,131.5,460.9,1350.9
23.0,7.55,7.6,106.0,750.0,2110.0
25.5,6.8,7.05,52.0,900.0,1900.0
22.0,4.75,7.35,188.0,1360.0,4610.0
24.5,6.95,7.35,171.0,515.0,900.0
24.0,6.7,7.15,183.0,605.0,1200.0
23.0,7.0,7.4,125.5,330.0,850.0
29.5,4.45,7.15,31.5,330.0,7180.0
23.5,5.9,7.15,166.5,515.0,900.0
23.0,7.4,7.4,118.5,515.0,1580.0
25.0,4.45,5.7,163.0,330.0,805.0
24.0,5.9,7.75,89.0,1150.0,2115.0
22.0,2.3,6.7,132.0,730.0,2800.0
26.0,6.25,7.3,126.5,930.0,2300.0
29.0,5.3,7.3,115.5,900.0,1900.0
22.5,5.45,7.15,96.0,545.0,1300.0
23.5,5.5,6.95,117.0,545.0,2450.0
26.0,6.45,7.4,149.5,535.0,700.0
23.5,6.5,7.15,63.0,300.0,605.0
27.0,7.3,7.55,84.5,605.0,1750.0
27.0,7.25,7.75,429.5,48.0,117.0
27.5,1.7,7.7,2096.0,175.5,1135.0
27.5,6.75,7.95,668.5,61.5,380.0
27.5,6.7,7.85,692.5,64.5,222.0
27.5,7.6,7.25,452.0,1.9,47.5
27.5,0.8,7.95,2278.5,366.5,1025.0
28.0,7.3,8.0,328.0,71.0,270.0
30.5,0.0,7.5,1959.5,410.0,5700.0
28.0,7.0,8.35,245.0,10.5,71.0
27.0,7.35,8.05,375.5,2.9,24.5
20.4,7.4,7.8,284.0,5.9,43.0
18.6,7.45,7.75,1280.0,7.4,47.5
23.0,6.85,7.85,244.5,9.9,51.5
22.5,7.65,8.2,246.5,1.8,42.0
22.5,7.5,8.2,352.5,1.8,39.5
23.0,7.75,8.15,313.5,1.8,40.5
20.25,7.7,7.8,259.0,6.4,43.0
25.0,8.4,8.0,933.5,10.0,317.0
23.0,7.45,8.3,309.5,1.8,44.0
24.5,8.0,8.0,1025.0,25.5,1235.0
25.0,8.65,8.0,332.0,56.0,1105.0
22.5,7.1,8.25,298.5,9.9,41.5
22.5,7.35,8.2,343.0,1.8,43.5
20.15,7.6,7.75,281.0,1.8,0.0
20.05,7.15,7.95,1545.0,3.9,25.0
18.6,7.5,7.75,302.5,5.4,39.0
18.7,7.5,7.7,325.0,7.9,45.0
25.5,7.5,7.75,404.0,1.8,44.0
24.5,8.5,8.2,255.0,32.4,1081.5
25.6,5.7,7.85,399.0,9.9,39.0
18.95,7.4,7.75,353.0,6.4,45.5
19.05,7.0,7.65,2252.0,6.4,41.0
23.5,7.1,8.1,337.5,1.8,41.0
28.0,6.95,7.85,281.5,25.0,56.0
28.0,6.9,7.95,274.0,23.0,55.5
25.0,7.4,7.7,286.0,15.0,121.5
28.0,6.75,7.9,1572.5,27.0,70.0
28.5,6.5,7.95,9272.0,79.5,280.0
